Input parameters
steepness,shift
1.31162,17.67323
-1.44738,23.27652
1.21693,27.88467
-1.28902,33.93984
1.1308,35.06268
-1.65124,42.98049
1.28576,48.70933
-1.47807,53.81109
1.25413,58.91224
-1.31241,63.79841
1.18278,68.09467
-1.63224,75.03277
Input compensations terms,6.0
Output parameters
steepness,shift
-1.61142,19.60113
1.35387,25.33305
-1.49646,29.44202
0.76837,27.33357
-0.75802,26.34302
1.29066,45.43134
-1.52519,50.48669
1.21349,56.344
-1.39152,60.51649
1.11307,66.54109
-1.28322,69.15395
1.29883,77.46485
Output compensations terms,5.0
Input RMSE,0.0109022
Output RMSE,0.0136856
