Input parameters
steepness,shift
1.29777,17.67613
-1.64637,25.95743
1.29692,33.42815
-1.64166,41.75372
1.30499,52.02741
-1.57476,57.55898
1.29637,64.95243
-1.64558,75.39315
1.2964,86.44954
-1.64517,96.15963
1.29966,106.43008
-1.6321,113.69288
Input compensations terms,6.0
Output parameters
steepness,shift
-1.64738,19.58087
1.30145,28.38617
-1.62771,35.31412
1.29656,44.18237
-1.65479,53.93536
1.29583,59.98719
-1.62486,66.83676
1.29622,77.82236
-1.64574,88.35374
1.29674,98.58829
-1.64904,108.33473
1.29582,116.12209
Output compensations terms,5.0
Input RMSE,0.0139326
Output RMSE,0.0139943
