Input parameters
Steepness,Shift
1.29975,17.67496
-1.63265,24.94155
1.30306,34.66408
-1.57434,40.07599
1.23689,46.74532
-1.40679,50.85393
1.29844,59.76971
-1.44231,68.43214
1.13183,72.47906
-1.65274,82.13352
1.29936,89.22885
-1.6291,96.29742
Input compensations terms,6
Output parameters
Steepness,Shift
-1.64999,19.58036
1.29604,27.37026
-1.65119,36.57315
1.30136,42.50286
-1.4062,48.72918
1.16447,52.99253
-1.64511,61.67193
1.14448,71.19786
-1.2669,73.38944
1.3034,84.56242
-1.62195,91.10537
1.29595,98.72686
Output compensations terms,5
Input RMSE,0.0147182
Output RMSE,0.0144599
